dataset,pdb_id,resolution,release_year,Kd_M,pK
core,4tmn,1.70,1989,6.800000000000001e-11,10.167491087293763
core,5tmn,1.60,1989,9.1e-09,8.040958607678906
core,1ydr,2.20,1997,3e-06,5.522878745280337
core,1ydt,2.30,1997,4.8000000000000006e-08,7.318758762624412
core,1bcu,2.00,1998,0.0005300000000000001,3.275724130399211
core,1a30,2.00,1998,4.9999999999999996e-05,4.301029995663981
core,1bzc,2.35,1999,1.2e-05,4.920818753952375
core,1qf1,2.00,1999,4.8000000000000006e-08,7.318758762624412
core,1qkt,2.20,2000,9.200000000000001e-10,9.036212172654444
core,1c5z,1.85,2000,9.7e-05,4.013228265733755
core,1k1i,2.20,2001,2.6400000000000003e-07,6.578396073130169
core,1e66,2.10,2001,1.3000000000000002e-10,9.886056647693163
core,1g2k,1.95,2001,1.1000000000000001e-08,7.958607314841775
core,1eby,2.29,2002,2.0000000000000003e-10,9.698970004336019
core,1gpn,2.35,2002,3.34e-07,6.476253533188435
core,1h22,2.15,2002,8.000000000000001e-10,9.096910013008056
core,1gpk,2.10,2002,4.2999999999999995e-06,5.366531544420414
core,1h23,2.15,2002,4.500000000000001e-09,8.346787486224656
core,1p1n,1.60,2003,1.6e-07,6.795880017344075
core,1q8u,1.90,2003,1.1e-06,5.958607314841775
core,1p1q,2.00,2003,1.28e-05,4.892790030352131
core,1q8t,2.00,2003,1.75e-05,4.756961951313706
core,1o3f,1.55,2003,1.1e-08,7.958607314841775
core,1oyt,1.67,2003,5.7e-08,7.2441251443275085
core,1nc1,2.00,2003,7.5e-07,6.1249387366083
core,1o0h,1.20,2003,1.2e-06,5.920818753952375
core,1nc3,2.20,2003,9.999999999999999e-06,5.0
core,1owh,1.61,2003,4e-08,7.3979400086720375
core,1ps3,1.80,2003,0.005200000000000001,2.2839966563652006
core,1nvq,2.00,2003,5.6e-09,8.2518119729938
core,1mq6,2.10,2003,7e-12,11.154901959985743
core,1lpg,2.00,2003,8.2e-08,7.086186147616283
core,1uto,1.15,2004,0.00532,2.2740883677049517
core,1pxn,2.50,2004,7e-08,7.154901959985743
core,1r5y,1.20,2004,3.5e-07,6.455931955649724
core,1sqa,2.00,2004,6.2e-10,9.207608310501746
core,1o5b,1.85,2004,1.6999999999999998e-06,5.769551078621726
core,1s38,1.81,2004,7e-06,5.154901959985743
core,1u1b,2.00,2005,1.6e-08,7.795880017344075
core,2c3i,1.90,2005,2.5000000000000002e-08,7.6020599913279625
core,1yc1,1.70,2005,6.800000000000001e-07,6.167491087293763
core,2brb,2.10,2005,1.37e-05,4.863279432843593
core,1z9g,1.70,2005,2.2999999999999996e-06,5.638272163982407
core,1syi,2.10,2005,3.5900000000000004e-06,5.444905551421681
core,2al5,1.65,2005,4e-09,8.397940008672037
core,1w4o,1.60,2005,6e-06,5.221848749616356
core,2br1,2.00,2005,7.2e-06,5.142667503568732
core,1z95,1.80,2005,7.6e-08,7.119186407719209
core,1y6r,2.20,2005,7.699999999999999e-11,10.113509274827518
core,2iwx,1.50,2006,2.0999999999999997e-07,6.6777807052660805
core,2cbv,1.95,2006,3.2999999999999997e-06,5.481486060122113
core,2j78,1.65,2006,3.8400000000000005e-07,6.4156687756324695
core,2j7h,1.95,2006,6.5e-08,7.187086643357144
core,2cet,1.97,2006,9.6e-09,8.017728766960431
core,1z6e,1.80,2006,1.9000000000000002e-10,9.721246399047171
core,2hb1,2.00,2006,0.00015999999999999999,3.7958800173440754
core,2fvd,1.85,2006,3.0000000000000004e-09,8.522878745280337
core,2v7a,2.50,2007,5e-09,8.301029995663981
core,2v00,1.55,2007,0.00022,3.657577319177794
core,2fxs,2.00,2007,8.699999999999999e-07,6.060480747381382
core,2p15,1.94,2007,5e-11,10.301029995663981
core,2pog,1.84,2007,2.9e-10,9.537602002101044
core,3bgz,2.40,2007,5.5e-07,6.259637310505756
core,2qe4,2.40,2007,1.1000000000000001e-08,7.958607314841775
core,1vso,1.85,2007,1.898e-05,4.721703791908726
core,3cj4,2.07,2008,3.1e-07,6.508638306165727
core,2zb1,2.50,2008,4.8e-07,6.318758762624412
core,3coy,2.03,2008,9.6e-07,6.017728766960432
core,3coz,2.00,2008,2.7e-06,5.568636235841013
core,3f3e,1.80,2008,2e-08,7.698970004336019
core,2vw5,1.90,2008,3.0000000000000004e-09,8.522878745280337
core,2vvn,1.85,2008,5.0000000000000004e-08,7.301029995663981
core,3f3d,2.30,2008,6.900000000000001e-08,7.161150909262744
core,2qbp,2.50,2008,4e-09,8.397940008672037
core,2qbq,2.10,2008,3.6e-08,7.443697499232713
core,2qbr,2.30,2008,4.6999999999999995e-07,6.327902142064283
core,3b65,1.80,2008,5.400000000000001e-10,9.267606240177031
core,2qnq,2.30,2008,7.699999999999999e-07,6.113509274827519
core,3e93,2.00,2008,1.4e-09,8.853871964321762
core,2zcq,2.38,2008,1.5000000000000002e-09,8.823908740944319
core,3b5r,1.80,2008,1.7000000000000001e-09,8.769551078621726
core,2vkm,2.05,2008,1.8000000000000002e-09,8.744727494896694
core,3e92,2.00,2008,1e-08,8.0
core,2zcr,1.92,2008,1.35e-07,6.8696662315049934
core,3d4z,1.39,2008,1.3e-05,4.886056647693163
core,2p4y,2.25,2008,1e-09,9.0
core,3bv9,1.80,2008,4.4e-06,5.356547323513812
core,2zda,1.73,2008,4e-09,8.397940008672037
core,3b68,1.90,2008,4e-09,8.397940008672037
core,3e5a,2.30,2008,5.900000000000001e-09,8.229147988357855
core,3f3a,2.00,2008,6.479999999999999e-05,4.188424994129407
core,2r9w,1.80,2008,8e-06,5.096910013008056
core,3f3c,2.10,2008,9.5e-07,6.022276394711152
core,3jvs,1.90,2009,2.9e-07,6.537602002101044
core,3gnw,2.39,2009,7.900000000000001e-10,9.102372908709558
core,2w4x,2.42,2009,1.4e-05,4.853871964321762
core,2wn9,1.75,2009,3.0000000000000004e-09,8.522878745280337
core,2weg,1.10,2009,3.1400000000000003e-07,6.503070351926785
core,2wnc,2.20,2009,4.79e-07,6.319664486585436
core,3ivg,1.95,2009,4.9999999999999996e-05,4.301029995663981
core,3kr8,2.10,2009,8e-09,8.096910013008056
core,2wer,1.60,2009,9.000000000000001e-08,7.045757490560675
core,2zy1,1.78,2009,4e-08,7.3979400086720375
core,3jya,2.10,2009,1.3009999999999998e-07,6.885722703438414
core,3g0w,1.95,2009,3e-10,9.522878745280337
core,3ebp,2.00,2009,1.24e-06,5.906578314837765
core,3g31,1.70,2009,0.0013000000000000002,2.886056647693163
core,3ehy,1.90,2009,1.4e-06,5.853871964321762
core,3fcq,1.75,2009,0.0017,2.769551078621726
core,3jvr,1.76,2009,1.89e-06,5.723538195826756
core,3fur,2.30,2009,1e-08,8.0
core,3gbb,2.10,2009,1.2600000000000002e-07,6.899629454882437
core,3dx2,1.40,2009,1.5000000000000002e-07,6.823908740944319
core,3d6q,1.60,2009,0.00017199999999999998,3.7644715530924513
core,3dd0,1.48,2009,1e-09,9.0
core,2wca,2.30,2009,2.4999999999999998e-06,5.6020599913279625
core,3kgp,2.35,2009,0.00268,2.571865205971211
core,3ejr,1.27,2009,2.7e-09,8.568636235841012
core,3dx1,1.21,2009,0.000265,3.576754126063192
core,3ge7,1.50,2009,2e-09,8.698970004336019
core,2wbg,1.85,2009,3.52e-05,4.453457336521869
core,3gr2,1.80,2009,0.003,2.5228787452803374
core,3dxg,1.39,2009,0.004,2.3979400086720375
core,3g2z,1.50,2009,0.0044,2.3565473235138126
core,3gc5,1.40,2009,5.5e-08,7.259637310505756
core,3gv9,1.80,2009,0.0075,2.1249387366083
core,2w66,2.27,2009,8.9e-05,4.050609993355088
core,3myg,2.40,2010,2.0000000000000002e-11,10.698970004336019
core,3k5v,1.74,2010,5e-07,6.301029995663981
core,3lka,1.80,2010,0.0015,2.8239087409443187
core,3mss,1.95,2010,2.2e-05,4.657577319177793
core,2xbv,1.66,2010,3.7000000000000005e-09,8.431798275933005
core,2x00,2.40,2010,4.7e-12,11.327902142064282
core,3p5o,1.60,2010,5.5200000000000005e-08,7.2580609222708015
core,2xii,1.80,2010,6.33e-08,7.198596289982645
core,3nx7,1.80,2010,7.88e-09,8.103473782510445
core,2wvt,1.80,2010,7.550000000000001e-07,6.1220530483708115
core,2xdl,1.98,2010,0.00079,3.1023729087095586
core,3gy4,1.55,2010,8e-06,5.096910013008056
core,3nq9,1.90,2010,9.259999999999999e-05,4.033389013318065
core,3fv1,1.50,2010,5e-10,9.301029995663981
core,2wtv,2.40,2010,1.8000000000000002e-09,8.744727494896694
core,2xnb,1.85,2010,1.49e-07,6.826813731587726
core,3acw,1.63,2010,1.75e-05,4.756961951313706
core,2xj7,2.00,2010,2.2e-07,6.657577319177793
core,2xb8,2.40,2010,2.6e-08,7.585026652029182
core,3l7b,2.00,2010,0.00401,2.396855627379818
core,3fv2,1.50,2010,7.700000000000001e-09,8.113509274827518
core,3g2n,2.10,2010,8.099999999999999e-05,4.0915149811213505
core,3kwa,2.00,2010,8.4e-05,4.075720713938118
core,3ag9,2.00,2010,9.000000000000001e-09,8.045757490560675
core,3arp,1.55,2011,7e-08,7.154901959985743
core,3uex,2.10,2011,1.2e-07,6.920818753952375
core,2yki,1.67,2011,3.5e-10,9.455931955649724
core,3uew,2.00,2011,4.9e-07,6.309803919971486
core,3arq,1.50,2011,4e-07,6.3979400086720375
core,3ary,1.35,2011,1e-06,6.0
core,3uev,1.90,2011,1.29e-06,5.889410289700751
core,3pyy,1.85,2011,1.37e-07,6.863279432843593
core,3ryj,1.39,2011,1.6e-08,7.795880017344075
core,3arv,1.50,2011,2.2999999999999996e-06,5.638272163982407
core,3u5j,1.60,2011,2.4599999999999997e-06,5.609064892896621
core,3pxf,1.80,2011,3.7e-05,4.431798275933005
core,3rsx,2.48,2011,3.8799999999999994e-05,4.411168274405793
core,3ueu,2.10,2011,5.8099999999999994e-06,5.235823867609669
core,3b27,1.50,2011,6.9e-06,5.161150909262744
core,3aru,1.90,2011,0.0006,3.2218487496163566
core,3ao4,1.95,2011,0.0085,2.070581074285707
core,2yge,1.96,2011,8.619999999999999e-06,5.064492734175287
core,3u8n,2.35,2011,6.700000000000001e-11,10.173925197299173
core,3n76,1.90,2011,1.4e-07,6.853871964321762
core,3o9i,1.45,2011,1.5e-12,11.823908740944319
core,3oe5,1.52,2011,1.3200000000000002e-07,6.87942606879415
core,3prs,1.38,2011,1.5000000000000002e-08,7.823908740944319
core,2y5h,1.33,2011,1.6200000000000002e-06,5.790484985457369
core,3qgy,2.10,2011,1.6e-08,7.795880017344075
core,3nw9,1.65,2011,1e-09,9.0
core,3ui7,2.28,2011,1e-09,9.0
core,3u8k,2.47,2011,2.2000000000000003e-09,8.657577319177793
core,3n86,1.90,2011,2.2999999999999996e-06,5.638272163982407
core,3n7a,2.00,2011,0.00019999999999999998,3.6989700043360187
core,3b1m,1.60,2011,3.3e-09,8.481486060122112
core,3rlr,1.70,2011,3.0000000000000004e-08,7.522878745280337
core,3oe4,1.49,2011,3.4e-08,7.468521082957745
core,2xys,1.91,2011,3.8e-08,7.42021640338319
core,3u9q,1.52,2011,4.1700000000000004e-05,4.379863945026242
core,3ozs,1.44,2011,4.645e-06,5.333014281670339
core,3pww,1.22,2011,4.8000000000000006e-08,7.318758762624412
core,3ozt,1.48,2011,7.49e-05,4.125518182300533
core,3udh,1.70,2012,0.0014,2.853871964321762
core,4agn,1.60,2012,0.000107,3.9706162223147903
core,3zt2,1.70,2012,0.0014349999999999999,2.843148098929989
core,4agp,1.50,2012,2.06e-05,4.686132779630847
core,4abg,1.52,2012,0.000271,3.567030709125594
core,3uo4,2.45,2012,2.99e-07,6.52432881167557
core,3up2,2.30,2012,4e-08,7.3979400086720375
core,3zsx,1.95,2012,0.0005189999999999999,3.2848326421515424
core,3tsk,2.00,2012,6.7e-08,7.173925197299173
core,2ymd,1.96,2012,0.0006929999999999999,3.1592667653881934
core,3zso,1.75,2012,7.599999999999999e-06,5.119186407719209
core,4eo8,1.80,2012,7.000000000000001e-09,8.154901959985743
core,4agq,1.42,2012,9.699999999999999e-06,5.013228265733755
core,3utu,1.55,2012,1.2e-11,10.920818753952375
core,4gid,2.00,2012,1.7000000000000003e-11,10.769551078621726
core,4djv,1.73,2012,1.8999999999999998e-07,6.721246399047171
core,2yfe,2.00,2012,2.3599999999999997e-07,6.627087997029894
core,4ea2,2.05,2012,3.6e-07,6.443697499232713
core,4de1,1.26,2012,1.1e-06,5.958607314841775
core,3qqs,1.97,2012,1.5e-06,5.823908740944319
core,4dld,2.00,2012,1.5e-06,5.823908740944319
core,4hge,2.30,2012,1.19e-08,7.924453038607469
core,3twp,1.83,2012,0.00011899999999999999,3.9244530386074694
core,3uuo,2.11,2012,1.1000000000000001e-08,7.958607314841775
core,3r88,1.73,2012,1.4999999999999999e-05,4.823908740944319
core,3uri,2.10,2012,1e-09,9.0
core,4f09,2.40,2012,2.0000000000000002e-07,6.698970004336019
core,4e5w,1.86,2012,2.2000000000000002e-08,7.657577319177793
core,3rr4,1.68,2012,2.805e-05,4.55206713440782
core,4de3,1.44,2012,3e-06,5.522878745280337
core,4eky,2.45,2012,0.000303,3.518557371497695
core,4e6q,1.95,2012,4.4000000000000005e-09,8.356547323513812
core,3syr,2.40,2012,7.9e-06,5.102372908709558
core,4de2,1.40,2012,7.599999999999999e-05,4.119186407719209
core,4ddh,2.07,2013,0.0005,3.3010299956639813
core,4j3l,2.09,2013,1.6e-08,7.795880017344075
core,4dli,1.91,2013,2.4e-06,5.619788758288394
core,4bkt,2.35,2013,0.00023999999999999998,3.619788758288394
core,4mme,2.50,2013,3.18e-07,6.497572880015567
core,4j21,1.93,2013,3.9000000000000005e-08,7.4089353929735005
core,4ddk,1.75,2013,0.0050999999999999995,2.2924298239020637
core,4ih7,2.30,2013,5.7999999999999995e-06,5.236572006437063
core,4kzq,2.25,2013,7.88e-07,6.103473782510445
core,4ih5,1.90,2013,7.8e-05,4.107905397309519
core,4gfm,2.30,2013,6e-08,7.221848749616356
core,4ivc,2.35,2013,1.0000000000000002e-10,10.0
core,4gr0,1.50,2013,2.8000000000000007e-10,9.55284196865778
core,4ivd,1.93,2013,3e-10,9.522878745280337
core,4jia,1.85,2013,6e-10,9.221848749616356
core,4k18,2.05,2013,1.1000000000000001e-09,8.958607314841775
core,4f3c,1.93,2013,1.5e-12,11.823908740944319
core,4ivb,1.90,2013,1.9e-09,8.721246399047171
core,4f9w,2.00,2013,1.14e-07,6.943095148663527
core,4j28,1.73,2013,2e-06,5.698970004336019
core,4k77,2.40,2013,2.3500000000000003e-07,6.628932137728263
core,4kzu,2.10,2013,3.13e-07,6.504455662453552
core,4f2w,2.00,2013,5e-12,11.301029995663981
core,4jfs,2.00,2013,5.4e-06,5.267606240177032
core,4jsz,1.90,2013,0.005,2.3010299956639813
core,4eor,2.20,2013,5.000000000000001e-07,6.301029995663981
core,4gkm,1.67,2013,6.799999999999999e-06,5.167491087293763
core,3zdg,2.48,2013,7.9e-08,7.102372908709558
core,4w9h,2.10,2014,1.85e-07,6.732828271596986
core,4m0y,1.70,2014,3.5e-07,6.455931955649724
core,4qac,2.10,2014,4.0000000000000007e-10,9.397940008672037
core,4w9i,2.40,2014,1.1e-06,5.958607314841775
core,4u4s,1.90,2014,0.0012,2.9208187539523753
core,4ogj,1.65,2014,1.64e-07,6.785156151952302
core,4lzs,2.20,2014,1.6e-05,4.795880017344075
core,4mgd,1.90,2014,2.019e-05,4.69486368105636
core,4cig,1.70,2014,0.000214,3.669586226650809
core,4w9c,2.20,2014,2.2199999999999998e-05,4.653647025549361
core,4wiv,1.56,2014,5.5e-07,6.259637310505756
core,4m0z,2.00,2014,6.4e-06,5.1938200260161125
core,4w9l,2.20,2014,9.519999999999999e-06,5.021363051615526
core,4ty7,2.09,2014,3e-10,9.522878745280337
core,4kz6,1.68,2014,0.0008,3.0969100130080562
core,4owm,1.99,2014,0.00109,2.962573502059376
core,4llx,1.75,2014,0.0013,2.886056647693163
core,4pcs,1.77,2014,1.4000000000000001e-08,7.853871964321762
core,4ciw,2.20,2014,1.4999999999999999e-05,4.823908740944319
core,4jxs,1.90,2014,1.8e-05,4.7447274948966935
core,3wtj,2.24,2015,2.9699999999999997e-07,6.527243550682788
core,5aba,1.62,2015,0.00104,2.9829666607012197
core,5a7b,1.40,2015,0.000271,3.567030709125594
core,4crc,1.60,2015,1.9e-09,8.721246399047171
core,4cra,1.80,2015,6e-08,7.221848749616356
core,3wz8,1.45,2015,1.5e-06,5.823908740944319
core,4twp,2.40,2015,1e-10,10.0
core,5c28,1.56,2015,2.2e-06,5.657577319177793
core,4qd6,2.45,2015,2.3e-09,8.638272163982407
core,4x6p,1.93,2015,5e-09,8.301029995663981
core,5dwr,2.00,2015,6e-12,11.221848749616356
core,5c2h,2.09,2015,8.2e-12,11.086186147616283
core,4cr9,1.70,2015,7.999999999999999e-05,4.096910013008056
core,4rfm,2.10,2015,9e-11,10.045757490560675
